city,ST,state,county_name,lat,lng,population,density
South Creek,WA,Washington,Pierce,46.9994,-122.3921,2500,125
Roslyn,WA,Washington,Kittitas,47.2507,-121.0989,947,84
Sprague,WA,Washington,Lincoln,47.3048,-117.9713,441,163
Gig Harbor,WA,Washington,Pierce,47.3352,-122.5968,9507,622
Lake Cassidy,WA,Washington,Snohomish,48.0639,-122.092,3591,131
Tenino,WA,Washington,Thurston,46.8537,-122.8607,1830,491
Jamestown,WA,Washington,Clallam,48.1229,-123.0911,289,191
Three Lakes,WA,Washington,Snohomish,47.942,-121.9924,3390,112
Curlew Lake,WA,Washington,Ferry,48.7311,-118.6663,573,50
Chain Lake,WA,Washington,Snohomish,47.9038,-121.9861,4280,156
Pateros,WA,Washington,Okanogan,48.0536,-119.8994,701,536
Rosburg,WA,Washington,Wahkiakum,46.3076,-123.6344,385,6
Parkland,WA,Washington,Pierce,47.1417,-122.4376,37019,1653
Birch Bay,WA,Washington,Whatcom,48.923,-122.7543,8642,208
Ashford,WA,Washington,Pierce,46.7537,-122.0113,162,30
Navy Yard City,WA,Washington,Kitsap,47.5508,-122.6655,3154,1978
Omak,WA,Washington,Okanogan,48.4228,-119.5159,8130,478
Farmington,WA,Washington,Whitman,47.0887,-117.0464,154,164
Buckley,WA,Washington,Pierce,47.1615,-122.02,4819,482
Cathcart,WA,Washington,Snohomish,47.8525,-122.1058,2506,250
Poulsbo,WA,Washington,Kitsap,47.7417,-122.6408,10670,869
Anacortes,WA,Washington,Skagit,48.4878,-122.6292,17955,559
Maplewood,WA,Washington,Pierce,47.3715,-122.5689,5340,248
Creston,WA,Washington,Lincoln,47.7595,-118.52,226,212
Rockford,WA,Washington,Spokane,47.4513,-117.1307,477,271
Wishram,WA,Washington,Klickitat,45.6599,-120.9698,438,131
Centralia,WA,Washington,Lewis,46.7225,-122.9695,41643,883
South Hill,WA,Washington,Pierce,47.1203,-122.2848,56379,1185
Longview Heights,WA,Washington,Cowlitz,46.1796,-122.9577,3678,337
Erlands Point-Kitsap Lake,WA,Washington,Kitsap,47.5973,-122.7021,2973,655
Amboy,WA,Washington,Clark,45.9122,-122.4795,2027,78
St. John,WA,Washington,Whitman,47.0915,-117.5887,561,322
Dallesport,WA,Washington,Klickitat,45.6316,-121.1749,1739,99
Ketron Island,WA,Washington,Pierce,47.1569,-122.6343,0,0
Mesa,WA,Washington,Franklin,46.5737,-119.0013,503,119
Fife,WA,Washington,Pierce,47.2328,-122.3518,10154,684
Moses Lake North,WA,Washington,Grant,47.1949,-119.3186,3787,264
Chewelah,WA,Washington,Stevens,48.2929,-117.7336,2637,341
Grayland,WA,Washington,Grays Harbor,46.8304,-124.0898,756,42
Kittitas,WA,Washington,Kittitas,46.9837,-120.4191,1491,729
Camano,WA,Washington,Island,48.1865,-122.4708,15989,155
Monroe North,WA,Washington,Snohomish,47.883,-121.9882,1704,282
North Bonneville,WA,Washington,Skamania,45.6425,-121.9689,999,154
Klickitat,WA,Washington,Klickitat,45.818,-121.1626,358,147
Loon Lake,WA,Washington,Stevens,48.0685,-117.6298,784,92
Newport,WA,Washington,Pend Oreille,48.1788,-117.0545,2635,624
Mead,WA,Washington,Spokane,47.7795,-117.35,6859,364
Cashmere,WA,Washington,Chelan,47.5175,-120.4671,4864,1061
Aberdeen Gardens,WA,Washington,Grays Harbor,47.0587,-123.7791,283,67
Ocean Shores,WA,Washington,Grays Harbor,46.9685,-124.1521,5553,268
Basin City,WA,Washington,Franklin,46.5891,-119.1567,1281,155
Wilkeson,WA,Washington,Pierce,47.1034,-122.0495,507,420
Meadow Glade,WA,Washington,Clark,45.7524,-122.5614,2895,307
Arlington Heights,WA,Washington,Snohomish,48.2119,-122.063,2826,129
Uniontown,WA,Washington,Whitman,46.5391,-117.0861,343,143
Oakesdale,WA,Washington,Whitman,47.1305,-117.2465,442,164
West Side Highway,WA,Washington,Cowlitz,46.1841,-122.9178,5902,901
Conconully,WA,Washington,Okanogan,48.5571,-119.7513,208,300
Latah,WA,Washington,Spokane,47.2822,-117.1557,187,225
Elma,WA,Washington,Grays Harbor,47.0055,-123.4112,3092,468
Tieton,WA,Washington,Yakima,46.7026,-120.756,1294,570
Southworth,WA,Washington,Kitsap,47.5126,-122.5298,2280,260
Danville,WA,Washington,Ferry,48.9938,-118.5068,19,41
Toppenish,WA,Washington,Yakima,46.3807,-120.3125,14441,1627
River Road,WA,Washington,Clallam,48.0677,-123.1276,952,1055
Geneva,WA,Washington,Whatcom,48.7461,-122.4064,2632,958
Yakima,WA,Washington,Yakima,46.5923,-120.5496,133233,1302
Moxee,WA,Washington,Yakima,46.5638,-120.3968,4032,670
Edmonds,WA,Washington,Snohomish,47.8114,-122.3533,42209,1829
Kalama,WA,Washington,Cowlitz,46.0171,-122.8393,3794,297
Laurier,WA,Washington,Ferry,48.9974,-118.2248,0,0
Vashon,WA,Washington,King,47.4122,-122.4726,9635,100
Country Homes,WA,Washington,Spokane,47.7478,-117.4197,5730,1339
Darrington,WA,Washington,Snohomish,48.2546,-121.6029,1406,306
Metaline Falls,WA,Washington,Pend Oreille,48.8616,-117.3706,245,446
Lyle,WA,Washington,Klickitat,45.6956,-121.2805,548,299
Cascade Valley,WA,Washington,Grant,47.1371,-119.3272,1797,232
Spangle,WA,Washington,Spokane,47.4299,-117.3812,307,339
Methow,WA,Washington,Okanogan,48.1289,-120.0056,78,44
Waterville,WA,Washington,Douglas,47.648,-120.0707,1198,533
Lake Roesiger,WA,Washington,Snohomish,47.9839,-121.9129,657,64
Milton,WA,Washington,Pierce,47.2522,-122.3154,8230,1185
Krupp,WA,Washington,Grant,47.4105,-118.9886,50,32
Alderton,WA,Washington,Pierce,47.1718,-122.2192,3303,240
DuPont,WA,Washington,Pierce,47.1079,-122.6496,9487,629
Edgewood,WA,Washington,Pierce,47.2309,-122.2832,11213,515
North Puyallup,WA,Washington,Pierce,47.2015,-122.2742,1848,684
Pacific Beach,WA,Washington,Grays Harbor,47.215,-124.1967,538,171
Manson,WA,Washington,Chelan,47.8858,-120.1563,1532,472
Brewster,WA,Washington,Okanogan,48.1034,-119.7751,2343,785
Battle Ground,WA,Washington,Clark,45.7764,-122.5413,20576,938
Shoreline,WA,Washington,King,47.7564,-122.3426,56189,1864
Cosmopolis,WA,Washington,Grays Harbor,46.9541,-123.7725,1624,452
Airway Heights,WA,Washington,Spokane,47.6459,-117.5792,8166,524
Grandview,WA,Washington,Yakima,46.2431,-119.9084,18858,670
Inchelium,WA,Washington,Ferry,48.3378,-118.2372,413,6
Grand Coulee,WA,Washington,Grant,47.9391,-119.0031,1042,330
Union,WA,Washington,Mason,47.3475,-123.0952,272,64
Torboy,WA,Washington,Ferry,48.6772,-118.6689,48,19
Kelso,WA,Washington,Cowlitz,46.1248,-122.8909,12130,580
Westport,WA,Washington,Grays Harbor,46.8919,-124.112,2051,214
Junction City,WA,Washington,Grays Harbor,46.9713,-123.7651,10,2
Lake Ketchum,WA,Washington,Snohomish,48.282,-122.348,894,166
West Pasco,WA,Washington,Franklin,46.2497,-119.1684,1233,280
Des Moines,WA,Washington,King,47.3914,-122.3154,31238,1875
Davenport,WA,Washington,Lincoln,47.6551,-118.1519,1708,395
Seattle,WA,Washington,King,47.6211,-122.3244,3643765,3336
Lake Stickney,WA,Washington,Snohomish,47.8709,-122.2596,9667,2441
Carnation,WA,Washington,King,47.6446,-121.9048,2164,725
Everett,WA,Washington,Snohomish,47.9524,-122.167,110079,1278
Warden,WA,Washington,Grant,46.9674,-119.0522,2716,366
Palouse,WA,Washington,Whitman,46.9103,-117.0751,1055,388
Terrace Heights,WA,Washington,Yakima,46.6024,-120.4482,7849,377
Clarkston,WA,Washington,Asotin,46.4152,-117.0502,7396,1430
Elmer City,WA,Washington,Okanogan,48,-118.9534,247,401
Mossyrock,WA,Washington,Lewis,46.5305,-122.4887,789,444
Summit View,WA,Washington,Pierce,47.1343,-122.3468,7421,885
Suquamish,WA,Washington,Kitsap,47.7238,-122.583,4108,232
Newcastle,WA,Washington,King,47.5303,-122.1633,11681,1014
